,question,top_0,top_1,top_2,top_3,top_4,SQL Query,ground_truth,execution_time,ground_truth_validity,SQL Query Execution Validity,SQL Query Results,ground_truth_results,Cosine Similarity Generated vs True,SQL Query Critic Score
13,What was the inflation rate in each metro area from June 2022 through June 2023?,"['How does the inflation rate of the U.S. city average compare to specific cities within the last 5 years?', 0.8349935150676456]","['What was the value of the consumer price index in May 2023?', 0.8255076478936878]","['What is the inflation rate?', 0.8168949091359836]","['How does inflation in the Miami area compare to the rest of the United States?', 0.8035906383792935]","['How much did food prices go up between 2019 and 2022?', 0.7943589528282283]","SELECT cpi_2022.area_name, ((cpi_2023.value - cpi_2022.value)/cpi_2022.value) as inflation_rate FROM bls_consumer_price_index cpi_2023, bls_consumer_price_index cpi_2022 WHERE cpi_2023.item_name = 'All items' AND cpi_2023.year = 2023 AND cpi_2023.period_name = 'June' AND cpi_2023.seasonal = 'Not Seasonally Adjusted' AND cpi_2023.area_type = 'Metro' AND cpi_2022.item_name = 'All items' AND cpi_2022.year = 2022 AND cpi_2022.period_name = 'June' AND cpi_2022.seasonal = 'Not Seasonally Adjusted' AND cpi_2022.area_type = 'Metro' AND cpi_2023.area_name = cpi_2022.area_name ORDER BY inflation_rate DESC","SELECT cpi_2023.area_name, ((cpi_2023.value - cpi_2022.value)/cpi_2022.value) as inflation_rate FROM bls_consumer_price_index cpi_2023, bls_consumer_price_index cpi_2022 WHERE cpi_2023.item_name = 'All items' AND cpi_2023.year = 2023 AND cpi_2023.period_name = 'June' AND cpi_2023.seasonal = 'Not Seasonally Adjusted' AND cpi_2023.area_type = 'Metro' AND cpi_2022.item_name = 'All items' AND cpi_2022.year = 2022 AND cpi_2022.period_name = 'June' AND cpi_2022.seasonal = 'Not Seasonally Adjusted' AND cpi_2022.area_type = 'Metro' AND cpi_2023.area_name = cpi_2022.area_name ORDER BY inflation_rate DESC LIMIT 10 -- this query calculates the overall rate of inflation for each metro area from June 2022 to June 2023",13.746868178997827,True,1,"[('Miami-Fort Lauderdale-West Palm Beach, FL', 0.06941104), ('Detroit-Warren-Dearborn, MI', 0.046634212), ('Seattle-Tacoma-Bellevue WA', 0.046158656), ('Atlanta-Sandy Springs-Roswell, GA', 0.04559165), ('Phoenix-Mesa-Scottsdale, AZ', 0.044067826), ('Philadelphia-Camden-Wilmington, PA-NJ-DE-MD', 0.031403106), ('St. Louis, MO-IL', 0.030832741), ('San Francisco-Oakland-Hayward, CA', 0.02879236), ('Baltimore-Columbia-Towson, MD', 0.027602235), ('Los Angeles-Long Beach-Anaheim, CA', 0.025417745), ('New York-Newark-Jersey City, NY-NJ-PA', 0.024557684), ('Chicago-Naperville-Elgin, IL-IN-WI', 0.021049088), ('Houston-The Woodlands-Sugar Land, TX', 0.01707256)]","[('Miami-Fort Lauderdale-West Palm Beach, FL', 0.06941104), ('Detroit-Warren-Dearborn, MI', 0.046634212), ('Seattle-Tacoma-Bellevue WA', 0.046158656), ('Atlanta-Sandy Springs-Roswell, GA', 0.04559165), ('Phoenix-Mesa-Scottsdale, AZ', 0.044067826), ('Philadelphia-Camden-Wilmington, PA-NJ-DE-MD', 0.031403106), ('St. Louis, MO-IL', 0.030832741), ('San Francisco-Oakland-Hayward, CA', 0.02879236), ('Baltimore-Columbia-Towson, MD', 0.027602235), ('Los Angeles-Long Beach-Anaheim, CA', 0.025417745)]",0.9867780601609804,1.0
14,How does inflation in the Miami area compare to the rest of the United States?,"['How does the inflation rate of the U.S. city average compare to specific cities within the last 5 years?', 0.8591990606185625]","['What was the inflation rate in each metro area from June 2022 through June 2023?', 0.8282319497798052]","['How has the cost of living increased in different areas of the country over the last 5 years?', 0.8142890259216211]","['What is the inflation rate?', 0.80453686809048]","['What are the GDP trends for different regions and geographic areas in the United States?', 0.7847791813610185]","SELECT cpi_2022.area_name, ((cpi_2022.value - cpi_2017.value)/cpi_2017.value) as inflation_rate FROM bls_consumer_price_index cpi_2022, bls_consumer_price_index cpi_2017 WHERE cpi_2022.item_name = 'All items' AND cpi_2022.year = 2022 AND cpi_2022.period_name = 'Annual' AND cpi_2022.seasonal = 'Not Seasonally Adjusted' AND cpi_2022.area_type IN ('Metro', 'Total') AND cpi_2017.item_name = 'All items' AND cpi_2017.year = 2017 AND cpi_2017.period_name = 'Annual' AND cpi_2017.seasonal = 'Not Seasonally Adjusted' AND cpi_2017.area_type IN ('Metro', 'Total') AND cpi_2022.area_name = cpi_2017.area_name AND (cpi_2022.area_name = 'Miami' OR cpi_2022.area_name = 'U.S. city average') ORDER BY inflation_rate DESC -- this query calculates the overall rate of inflation for Miami and the US average over the last 5 years","SELECT cpi_2022.area_name, (cpi_2023.value - cpi_2022.value)/cpi_2022.value as rate_of_inflation FROM bls_consumer_price_index cpi_2023, bls_consumer_price_index cpi_2022 WHERE cpi_2023.area_name IN ('Miami-Fort Lauderdale-West Palm Beach, FL', 'U.S. city average') AND cpi_2023.item_name = 'All items' AND cpi_2023.seasonal = 'Not Seasonally Adjusted' AND cpi_2023.period_name = 'June' AND cpi_2023.year = '2023' AND cpi_2022.area_name IN ('Miami-Fort Lauderdale-West Palm Beach, FL', 'U.S. city average') AND cpi_2022.item_name = 'All items' AND cpi_2022.seasonal = 'Not Seasonally Adjusted' AND cpi_2022.period_name = 'June' AND cpi_2022.year = '2022' AND cpi_2023.area_name = cpi_2022.area_name -- calculates the rate of inflation for the Miami area compared to the entire US from June 2022 to June 2023",29.28544165700077,True,1,"[('U.S. city average', 0.19392544)]","[('Miami-Fort Lauderdale-West Palm Beach, FL', 0.06941104), ('U.S. city average', 0.02969179)]",0.8983688051109304,
15,What jobs have grown the most since 2020?,"['What is the employment rate trend over the years in the US?', 0.7950378524947572]","['Which industries had the most job openings in West region in 2022?', 0.7906370255447419]","['Which industries grew the most between 2010 and 2020 in Georgia?', 0.790016798121773]","['Has the unemployment rate risen since 2020 in California?', 0.7869855664730114]","['How many people were employed in the construction industry in 2020?', 0.781940274228237]","SELECT job_title, (value_2021 - value_2020) as growth 
FROM bls_employment_projections 
WHERE year IN (2020, 2021) 
AND projection_type = 'Employment' 
GROUP BY job_title 
ORDER BY growth DESC 
LIMIT 10;","SELECT ce_2023.industry_name, (ce_2023.value - ce_2020.value)/ce_2020.value as rate_of_increase FROM bls_current_employment ce_2023, bls_current_employment ce_2020 WHERE ce_2023.data_type = 'ALL EMPLOYEES, THOUSANDS' AND ce_2023.period_name = 'July' AND ce_2023.year = 2023 AND ce_2023.seasonal = 'Seasonally Adjusted' AND ce_2020.data_type = 'ALL EMPLOYEES, THOUSANDS' AND ce_2020.period_name = 'January' AND ce_2020.year = 2020 AND ce_2020.seasonal = 'Seasonally Adjusted' AND ce_2023.industry_name = ce_2020.industry_name ORDER BY rate_of_increase DESC LIMIT 10 -- calculates the rate of increase in the number of employees in each industry since January 2020 and selects the top 25",3.75590840699806,True,0,Error,"[('Warehousing and storage', 0.46025524), ('Computing infrastructure providers, data processing, web hosting, and related services', 0.36178973), ('Scientific research and development services', 0.23998414), ('Couriers and messengers', 0.23278905), ('Management, scientific, and technical consulting services', 0.20937361), ('Community food and housing, and emergency and other relief services', 0.17381974), ('Other professional, scientific, and technical services', 0.16835193), ('Transportation and warehousing', 0.15734284), ('Offices of other health practitioners', 0.13941585), ('Office administrative services', 0.13911922)]",0.7221705244846559,0.0
16,What industries and sectors contribute the most to GDP?,"['Which industry contributed most to GDP growth in Virginia in 1982?', 0.8218496403605421]","['Which industry contributed most to GDP growth in Wisconsin in 1964?', 0.8183279214678048]","['Which industry contributed most to GDP growth in Colorado in 1994?', 0.816460296341301]","['What industries most impacted GDP in Georgia in 2017?', 0.8098092334127124]","['Which industry contributed most to GDP growth in Oklahoma in 1973?', 0.8081951083933385]","SELECT industry_name, SUM(value) as total_contribution 
FROM bea_gross_domestic_product_by_year 
WHERE industry_type IN ('Sector', 'Industry') 
AND measurement_name = 'Real GDP by state' 
GROUP BY industry_name 
ORDER BY total_contribution DESC","SELECT industry_name, value FROM bea_gross_domestic_product_by_year WHERE measurement_name = 'Real GDP by state' AND area_name = 'United States' AND industry_type = 'Sector' AND year = 2022 ORDER BY value DESC LIMIT 10;",3.562844493997545,True,1,"[('Finance, insurance, real estate, rental, and leasing', 236507840000000.0), ('Manufacturing', 212534850000000.0), ('Real estate', 175611880000000.0), ('Professional and business services', 149882140000000.0), ('State and local', 149602550000000.0), ('Retail trade', 105320050000000.0), ('Educational services, health care, and social assistance', 103102124000000.0), ('Wholesale trade', 97870160000000.0), ('Construction', 70107007000000.0), ('Information', 62113884000000.0), ('Miscellaneous professional, scientific, and technical services', 52010607000000.0), ('Arts, entertainment, recreation, accommodation, and food services', 47825518000000.0), ('Federal civilian', 42753980000000.0), ('Ambulatory health care services', 40475583000000.0), ('Transportation and warehousing', 36611882000000.0), ('Monetary Authorities- central bank, credit intermediation, and related services', 31706166000000.0), ('Insurance carriers and related activities', 31154480000000.0), ('Administrative and support services', 30111473000000.0), ('Other services (except government and government enterprises)', 29229998000000.0), ('Hospitals', 27242300000000.0), ('Mining, quarrying, and oil and gas extraction', 26903145000000.0), ('Food services and drinking places', 24260253000000.0), ('Chemical manufacturing', 23698333000000.0), ('Military', 23389278000000.0), ('Legal services', 23236912000000.0), ('Utilities', 19936188000000.0), ('Food and beverage and tobacco product manufacturing', 17639445000000.0), ('Computer systems design and related services', 15913583000000.0), ('Petroleum and coal products manufacturing', 15813587000000.0), ('Securities, commodity contracts, and other financial investments and related activities', 15329087000000.0), ('Agriculture, forestry, fishing and hunting', 14763750000000.0), ('Computer and electronic product manufacturing', 14500255000000.0), ('Rental and leasing services and lessors of nonfinancial intangible assets', 14423978000000.0), ('Fabricated metal product manufacturing', 10501226000000.0), ('Machinery manufacturing', 10013036000000.0), ('Accommodation', 9519651000000.0), ('Nursing and residential care facilities', 9057369000000.0), ('Other transportation equipment manufacturing', 8910054000000.0), ('Motor vehicles, bodies and trailers, and parts manufacturing', 8514442400000.0), ('Social assistance', 6943902000000.0), ('Performing arts, spectator sports, museums, and related activities', 6777377700000.0), ('Miscellaneous manufacturing', 5590831000000.0), ('Plastics and rubber products manufacturing', 5403570600000.0), ('Amusement, gambling, and recreation industries', 5042222000000.0), ('Primary metal manufacturing', 4715832700000.0), ('Paper manufacturing', 4532247500000.0), ('Electrical equipment, appliance, and component manufacturing', 4157819600000.0), ('Nonmetallic mineral product manufacturing', 3540999700000.0), ('Waste management and remediation services', 3102830200000.0), ('Printing and related support activities', 2876141000000.0), ('Furniture and related product manufacturing', 2321869400000.0), ('Wood product manufacturing', 1944766000000.0), ('Funds, trusts, and other financial vehicles', 1629192600000.0), ('Textile mills and textile product mills', 1580482800000.0), ('Apparel, leather, and allied product manufacturing', 944283200000.0)]","[('Finance, insurance, real estate, rental, and leasing', 3826152000000.0), ('Professional and business services', 3007812000000.0), ('Manufacturing', 2276110000000.0), ('Educational services, health care, and social assistance', 1758592000000.0), ('Information', 1582779000000.0), ('State and local', 1506073000000.0), ('Wholesale trade', 1167285000000.0), ('Retail trade', 1071150000000.0), ('Arts, entertainment, recreation, accommodation, and food services', 741047000000.0), ('Construction', 594948000000.0)]",0.9714319900596153,1.0
17,What are the GDP trends for different regions and geographic areas in the United States?,"['What is the employment rate trend over the years in the US?', 0.8201430099483621]","['What is the total amount of consumer spending in the United States, and how has it changed over time?', 0.8201317339428027]","['What percentage of consumer spending is allocated to different categories such as housing, food, transportation, healthcare, and entertainment?', 0.8074563293939564]","['How has the cost of living increased in different areas of the country over the last 5 years?', 0.806797006515055]","['How does the inflation rate of the U.S. city average compare to specific cities within the last 5 years?', 0.7951505726641809]","SELECT region_name, year, value as GDP FROM bea_gdp_by_region WHERE area_type = 'Region' ORDER BY year DESC, region_name;","SELECT gdp_q4_2022.area_name, gdp_q4_2022.area_type, (1 + (gdp_q4_2022.value - gdp_q3_2022.value)/gdp_q3_2022.value)^4 -1 as gdp_growth_rate FROM bea_gross_domestic_product_by_quarter as gdp_q4_2022 INNER JOIN bea_gross_domestic_product_by_quarter as gdp_q3_2022 ON gdp_q4_2022.area_name = gdp_q3_2022.area_name WHERE gdp_q4_2022.measurement_name = 'Real GDP by state' AND gdp_q4_2022.industry_type = 'Total' AND gdp_q4_2022.year = 2022 AND gdp_q4_2022.quarter = 'Q4' AND gdp_q4_2022.area_type != 'Nationwide' AND gdp_q3_2022.measurement_name = 'Real GDP by state' AND gdp_q3_2022.industry_type = 'Total' AND gdp_q3_2022.year = 2022 AND gdp_q3_2022.quarter = 'Q3' AND gdp_q3_2022.area_type != 'Nationwide' GROUP BY gdp_q4_2022.area_name, gdp_q4_2022.area_type, gdp_q4_2022.value, gdp_q3_2022.value ORDER BY gdp_q4_2022.area_type, gdp_growth_rate DESC LIMIT 10",1.8339145690006264,True,0,Error,"[('Southwest', 'Region', 0.06196292571770612), ('Southeast', 'Region', 0.031806778190609286), ('Rocky Mountain', 'Region', 0.031676287287785154), ('Far West', 'Region', 0.029214360378182036), ('New England', 'Region', 0.02008596937533813), ('Mideast', 'Region', 0.01000187734970237), ('Great Lakes', 'Region', 0.007083773602521992), ('Plains', 'Region', 0.002383748584169121), ('Texas', 'State', 0.07041290974846337), ('Oregon', 'State', 0.05648270527907506)]",0.6884176183217401,0.0
18,How much does government spending impact GDP?,"['What percentage of consumer spending is allocated to different categories such as housing, food, transportation, healthcare, and entertainment?', 0.8109195470582674]","['What is the total amount of consumer spending in the United States, and how has it changed over time?', 0.8065551566762503]","['What are the GDP trends for different regions and geographic areas in the United States?', 0.7860197130256309]","['What was GDP in Washington in 2019?', 0.78573317980813]","['What was the GDP of Utah in 2013?', 0.7644081769731256]","SELECT year, (government_spending.value / gdp.value) as government_impact_on_gdp FROM bea_government_spending_by_year as government_spending INNER JOIN bea_gross_domestic_product_by_year as gdp ON government_spending.year = gdp.year WHERE gdp.area_type = 'Nationwide' AND gdp.measurement_name = 'Real GDP by state' AND gdp.industry_type = 'Total' AND government_spending.area_type = 'Nationwide' ORDER BY year;","SELECT gov.value AS government_value, gov.value/total.value AS government_proportion FROM bea_gross_domestic_product_by_quarter AS gov, bea_gross_domestic_product_by_quarter AS total WHERE gov.measurement_name = 'Real GDP by state' AND gov.industry_name = 'Government and government enterprises' AND gov.year = 2022 AND gov.quarter = 'Q4' AND gov.area_type = 'Nationwide' AND total.measurement_name = 'Real GDP by state' AND total.industry_name = 'All industry total' AND total.year = 2022 AND total.quarter = 'Q4' AND total.area_type = 'Nationwide' LIMIT 10",9.60116777300209,True,0,Error,"[(2257968000000.0, 0.11187756)]",0.7210281123595617,0.0
19,"What is the total amount of consumer spending in the United States, and how has it changed over time?","['What percentage of consumer spending is allocated to different categories such as housing, food, transportation, healthcare, and entertainment?', 0.8490393981694419]","['What are the GDP trends for different regions and geographic areas in the United States?', 0.7853980117727333]","['How much does government spending impact GDP?', 0.7814841443320721]","['How much money do people in Kansas spend on Food and beverages purchased for off-premises consumption per capita?', 0.7701973537189777]","['What is the employment rate trend over the years in the US?', 0.7696120240717025]","SELECT year, SUM(value) as total_spending FROM bea_personal_consumption_expenditures_aggregate WHERE area_type = 'Nationwide' AND product_category_type = 'Product Type' GROUP BY year ORDER BY year;",SELECT value as total_spending FROM bea_personal_consumption_expenditures_aggregate WHERE product_category_name = 'Total personal consumption expenditures' AND area_type = 'Nationwide' AND year = 2021;,2.8185830430011265,True,1,"[(1997, 6330863600000.0), (1998, 6714676500000.0), (1999, 7159937000000.0), (2000, 7694380000000.0), (2001, 8068518600000.0), (2002, 8426377000000.0), (2003, 8879011000000.0), (2004, 9457204000000.0), (2005, 10085442000000.0), (2006, 10663319000000.0), (2007, 11215316000000.0), (2008, 11570205000000.0), (2009, 11489435000000.0), (2010, 11928575000000.0), (2011, 12422184000000.0), (2012, 12837298000000.0), (2013, 13201797000000.0), (2014, 13761306000000.0), (2015, 14286829000000.0), (2016, 14810647000000.0), (2017, 15419226000000.0), (2018, 16191437000000.0), (2019, 16807324000000.0), (2020, 16430933000000.0), (2021, 18469156000000.0)]","[(15902576000000.0,)]",0.8089030473109732,1.0
20,"What percentage of consumer spending is allocated to different categories such as housing, food, transportation, healthcare, and entertainment?","['What is the total amount of consumer spending in the United States, and how has it changed over time?', 0.8523869618991762]","['How much does government spending impact GDP?', 0.7886512122559807]","['What percentage of the population is working or actively seeking work?', 0.7849775265039937]","[""What percent of Colorado's economy is the Insurance carriers and related activities industry in 2022?"", 0.7789069230596678]","['How much money do people in Kansas spend on Food and beverages purchased for off-premises consumption per capita?', 0.7788125275850176]","SELECT product_category_name, value/(SELECT SUM(value) FROM bea_personal_consumption_expenditures_aggregate WHERE year = (SELECT MAX(year) FROM bea_personal_consumption_expenditures_aggregate) AND area_type = 'Nationwide') AS percentage FROM bea_personal_consumption_expenditures_aggregate WHERE product_category_name IN ('Housing and utilities', 'Food and beverages purchased for off-premises consumption', 'Transportation services', 'Healthcare', 'Recreation services') AND year = (SELECT MAX(year) FROM bea_personal_consumption_expenditures_aggregate) AND area_type = 'Nationwide';","SELECT product_category_name, value as total_spending, value/(SELECT value FROM bea_personal_consumption_expenditures_aggregate WHERE area_type = 'Nationwide' AND product_category_name = 'Total personal consumption expenditures' AND year = 2021) as proportion_of_total FROM bea_personal_consumption_expenditures_aggregate WHERE area_type = 'Nationwide' AND product_category_type = 'Product Type' AND year = 2021 ORDER BY proportion_of_total DESC NULLS LAST LIMIT 10;",14.882718923996435,True,1,"[('Food and beverages purchased for off-premises consumption', 0.01820928), ('Housing and utilities', 0.041939624), ('Recreation services', 0.007985938), ('Transportation services', 0.006710056)]","[('Housing and utilities', 2775433600000.0, 0.1745273), ('Health care', 2583455000000.0, 0.16245514), ('Gross output of nonprofit institutions', 1748820300000.0, 0.10997088), ('Other nondurable goods', 1400499000000.0, 0.08806743), ('Less: Receipts from sales of goods and services by nonprofit institutions', 1283289100000.0, 0.08069693), ('Financial services and insurance', 1274985600000.0, 0.08017478), ('Other services', 1273211700000.0, 0.08006323), ('Food and beverages purchased for off-premises consumption', 1205033400000.0, 0.07577599), ('Food services and accommodations', 1060907200000.0, 0.066712916), ('Motor vehicles and parts', 688718900000.0, 0.043308638)]",0.9055515076108465,
22,Has the unemployment rate risen since 2020 in California?,"['What is the employment rate trend over the years in the US?', 0.8150325558226608]","['What was the unemployment rate in 2018?', 0.8140781080279899]","['What was the unemployment rate for men and women in 2018?', 0.8004212587997404]","['What was the unemployment rate for immigrants and native born Americans in 2018?', 0.7973037447185171]","['How did the unemployment rate differ by education level in 2018', 0.78672696116265]","SELECT year, AVG(value) as unemployment_rate 
FROM bls_labor_force_statistics 
WHERE period_name = 'Annual' 
AND year >= 2020 
AND state = 'California' 
AND labor_force_status = 'Unemployment rate' 
GROUP BY year 
ORDER BY year;","SELECT year, value FROM bls_local_area_unemployment_statistics WHERE area_name = 'California' AND measure = 'unemployment rate' AND area_type = 'statewide' AND period_type = 'yearly (calendar year)' AND year >= 2020 LIMIT 10",3.73436280000169,True,0,Error,"[(2020, 0.101), (2021, 0.073), (2022, 0.042)]",0.6816343018660058,0.0
23,How did the unemployment rate differ by education level in 2018,"['What was the unemployment rate in 2018?', 0.8820146015378681]","['What was the unemployment rate for men and women in 2018?', 0.8753246960322753]","['What was the unemployment rate for immigrants and native born Americans in 2018?', 0.8536257495547837]","['What is the employment rate trend over the years in the US?', 0.8336007873126031]","['Has the unemployment rate risen since 2020 in California?', 0.7997128318404478]","SELECT level_of_education, AVG(value) as unemployment_rate FROM bls_labor_force_statistics WHERE period_name = 'Annual' AND year = 2018 AND age_group = '16 years and over' AND labor_force_status = 'Unemployment rate' AND foreign_native_born = 'N/A' AND certification_license_status = 'N/A' AND children = 'N/A' AND class_of_worker = 'N/A' AND disabled_status = 'N/A' AND length_of_unemployment = 'N/A' AND labor_force_entrant_status = 'N/A' AND experience_level = 'N/A' AND head_of_family = 'N/A' AND hours_worked_bucket = 'N/A' AND industry_name = 'All Industries' AND wants_job = 'N/A' AND reason_looking = 'N/A' AND marriage_status = 'N/A' AND multiple_job_holder_status = 'N/A' AND occupation = 'All Occupations' AND hispanic_origin = 'All Origins' AND race = 'All Races' AND sex = 'Both Sexes' AND veteran_status = 'N/A' GROUP BY level_of_education","SELECT unemployed_2018.level_of_education, unemployed_2018.value as unemployed, total_2018.value as labor_force, unemployed_2018.value/total_2018.value AS unemployment_rate FROM bls_labor_force_statistics unemployed_2018, bls_labor_force_statistics total_2018 WHERE unemployed_2018.period_name = 'Annual' AND unemployed_2018.year = 2018 AND unemployed_2018.age_group = '25 years and over' AND unemployed_2018.labor_force_status = 'Unemployed' AND unemployed_2018.foreign_native_born = 'N/A' AND unemployed_2018.industry_name = 'All Industries' AND unemployed_2018.hispanic_origin = 'All Origins' AND unemployed_2018.RACE = 'All Races' AND unemployed_2018.SEX = 'Both Sexes' AND unemployed_2018.veteran_status = 'N/A' AND unemployed_2018.level_of_education != 'All educational levels' AND total_2018.period_name = 'Annual' AND total_2018.year = 2018 AND total_2018.age_group = '25 years and over' AND total_2018.labor_force_status = 'Civilian labor force' AND total_2018.foreign_native_born = 'N/A' AND total_2018.industry_name = 'All Industries' AND total_2018.hispanic_origin = 'All Origins' AND total_2018.RACE = 'All Races' AND total_2018.SEX = 'Both Sexes' AND total_2018.veteran_status = 'N/A' AND total_2018.level_of_education != 'All educational levels' AND total_2018.level_of_education = unemployed_2018.level_of_education AND total_2018.year = unemployed_2018.year",12.824189811002723,True,0,Error,"[('Advanced degree', 423000.0, 21393000.0, 0.019772822), ('Associate degree', 440000.0, 15649000.0, 0.028116813), (""Bachelor's degree and higher"", 1222000.0, 57217000.0, 0.021357289), (""Bachelor's degree only"", 799000.0, 35824000.0, 0.022303484), ('High School graduates, no college', 1461000.0, 36010000.0, 0.040572062), ('Less than a High School diploma', 576000.0, 10278000.0, 0.05604203), ('Some college, no degree', 808000.0, 21937000.0, 0.03683275), ('Some college or associate degree', 1248000.0, 37585000.0, 0.033204734)]",0.7037283681092587,0.0
